Picasa Web Album  Picasa Nettalbum
logg deg på logg på
internett   Internett
koblinger   linker
Listen Now  Lytt Nå
server      tjener
erer\b      er
logger deg inn	logger på
kun\b	bare
URL	nettadresse
disabled_igjen	på nytt 
logg deg på|logg inn på*	logg på
Chrome Dashboard	Chrome Oversikt
Google Now	Google Nå
spam\b	søppelpost/nettsøppel
disabled_ved siden av	ved
du ønsker å\b	du vil
ved hjelp av	med
ved siden av      ved
være i stand til å?	kan
gav\b	ga
oppgav\b	oppga
[^,;–] men\b	, men
skjermbilde	skjermdump
på tvers av (?:enheter)*	mellom *eller* ulike *eller* på (enheter)
e-post-adresse	e-postadresse
view    vise	se (på)	In source: view
Aktiver\b	Aktivér
Plasser\b	Plassér
Kontroller\b	Kontrollér
Eksporter\b	Eksportér
Importer\b	Importér
Kopier\b	Kopiér
Reserver\b	Reservér
Marker\b	Markér
Skisser\b	Skissér
Sorter\b	Sortér
Krypter\b	Kryptér
Lanser\b	Lansér
Animer\b	Animér
^Rapporter\b	Rapportér
Roter\b	Rotér
Arkiver\b	Arkivér
Sorter\b	Sortér
Blokker\b	Blokkér
(?:Lær|Les) mer	Finn ut mer
hl=en|\/intl\/en\/	"hl=no" *eller* "/intl/no"
berøre?	trykk(e)
Full Access	Full tilgang
Google Butikk     Google Store
Google Drive	Google Disk
etter eller før	før eller etter
har blitt	er blitt
anbefales for deg	anbefalt for deg
preferanser	innstillinger
plassér bestilling	legg inn bestilling
øverst i høyre hjørne	oppe til høyre *eller* i øverste høyre hjørne
akseptere?	godta
som for eksempel	for eksempel
Chromecast-enhet(?:en)?	Chromecasten
skjermen forblir på	skjermen holder seg på
MVA\.?	mva.
berører?|berøring	trykk(e)(r)
varsling(?:er)?	varsel/varsler
besøke?	gå til (nettsted)	Context:nettsted
(?i)WiFi	Wi-Fi
etc\.	osv.
Play Music	Play Musikk
Chrome Web Store	Chrome Nettmarked
betalingsmetode	betalingsmåte
OK Google	Ok Google
sette? opp\b	konfigurer(e)
addresse	adresse
SafeSearch|Sikkert søk	Sikkert Søk
(basert på) sånt som	(basert på) sånt som
innstillingermenyen	innstillinger-menyen|innstillingsmenyen
(Google Kalender-)hendelse	(Google Kalender-)aktivitet
Google+-hendelse	Google+-arrangement
snarvei	hurtigtast	Context:tastatur
omdirigeringer	viderekoblinger
Google Pluss	Google+
vilkår for bruk for Google Play	vilkår for bruk av Google Play
nærliggende enheter	enheter i nærheten
betalingsmetode	betalingsmåte
timing	tid|tids-|tidsramme
frakoblet	ikke koblet til nettet
Installér	Installer
Google Butikk	Google Store
Cloud \(nett-\)sky
Vennlig hilsen,   Vennlig hilsen
ved siden av      ved
Nå kan du   Du kan nå
inkluder    ...rewrite if possible...
maskintranslering maskinoversettelse
